team,division,season,ncaa_id,height,major,jersey,name,url,position,class,hometown,high_school
Endicott,III,2024,588375,,,8,Hayden Laske,https://www.ecgulls.com/sports/msoc/2024-25/bios/laske_hayden_kwfq,B,Gr.,"Wethersfield, Conn.",Wethersfield
Endicott,III,2024,588375,,,9,Cole Fergusson,https://www.ecgulls.com/sports/msoc/2024-25/bios/fergusson_cole_oj6k,F,Sr.,"South Salem, N.Y.",John Jay Cross River
Endicott,III,2024,588375,,,10,Joe Cusack,https://www.ecgulls.com/sports/msoc/2024-25/bios/cusack_joe_2ata,M,Gr.,"Foxboro, Mass.",Foxboro
Endicott,III,2024,588375,,,11,Max Karkos,https://www.ecgulls.com/sports/msoc/2024-25/bios/karkos_max_7ul6,F,Gr.,"Wethersfield, Conn.",Wethersfield
Endicott,III,2024,588375,,,12,Ryan Gerry,https://www.ecgulls.com/sports/msoc/2024-25/bios/gerry_ryan_qpg7,F,Jr.,"Durham, Conn.",Xavier
Endicott,III,2024,588375,,,13,Babak Bakhtiari,https://www.ecgulls.com/sports/msoc/2024-25/bios/bakhtiari_babak_rzcq,F,Sr.,"Wilmington, Mass.",Central Catholic
Endicott,III,2024,588375,,,14,Billy deCastro,https://www.ecgulls.com/sports/msoc/2024-25/bios/decastro_billy_a6ax,B,Jr.,"Stonington, Conn.",Stonington
Endicott,III,2024,588375,,,15,Aidan Sheehan,https://www.ecgulls.com/sports/msoc/2024-25/bios/sheehan_aidan_bsxe,M,So.,"Arlington, Mass.",Arlington
Endicott,III,2024,588375,,,16,Conor Rooney,https://www.ecgulls.com/sports/msoc/2024-25/bios/rooney_conor_otgu,M,Jr.,"Monroe, Conn.",Masuk
Endicott,III,2024,588375,,,17,Matt Duarte,https://www.ecgulls.com/sports/msoc/2024-25/bios/duarte_matt_qit1,B,Sr.,"Rehoboth, Mass.",Dighton-Rehoboth
Endicott,III,2024,588375,,,18,Colin Achatz,https://www.ecgulls.com/sports/msoc/2024-25/bios/achatz_colin_c194,B,Jr.,"Longmeadow, Mass.",Longmeadow
Endicott,III,2024,588375,,,19,Tiago Frazao,https://www.ecgulls.com/sports/msoc/2024-25/bios/frazao_tiago_dh57,M,Gr.,"Trumbull, Conn.",Trumbull
Endicott,III,2024,588375,,,20,Ben Baker,https://www.ecgulls.com/sports/msoc/2024-25/bios/baker_ben_9f4o,B,Fr.,"Albany, N.Y.",Christian Brothers Academy
Endicott,III,2024,588375,,,21,Sean Catino,https://www.ecgulls.com/sports/msoc/2024-25/bios/catino_sean_hhfh,M,Jr.,"Bridgewater, Mass.",Bridgewater-Raynham
Endicott,III,2024,588375,,,22,Carter McCoy,https://www.ecgulls.com/sports/msoc/2024-25/bios/mccoy_carter_6jii,B,Jr.,"Monroe, Conn.",Masuk
Endicott,III,2024,588375,,,23,Kyle Montalvo,https://www.ecgulls.com/sports/msoc/2024-25/bios/montalvo_kyle_4m7s,B,Fr.,"Smithtown, N.Y.",Patchogue-Medford
Endicott,III,2024,588375,,,24,Travis Perrault,https://www.ecgulls.com/sports/msoc/2024-25/bios/perrault_travis_a6ea,B,Jr.,"Ashburnham, Mass.",Lawrence Academy
Endicott,III,2024,588375,,,25,Michael Lysiak,https://www.ecgulls.com/sports/msoc/2024-25/bios/lysiak_michael_t4e3,B,So.,"Paxton, Mass.",Wachusett
Endicott,III,2024,588375,,,26,George French,https://www.ecgulls.com/sports/msoc/2024-25/bios/french_george_e0xg,M,Jr.,"Monroe, Conn.",Masuk
Endicott,III,2024,588375,,,27,Jason Ferrandino,https://www.ecgulls.com/sports/msoc/2024-25/bios/ferrandino_jason_e211,M,Jr.,"Upton, Mass.",Nipmuc
Endicott,III,2024,588375,,,28,Tim Lynch,https://www.ecgulls.com/sports/msoc/2024-25/bios/lynch_tim_hvxn,M,Jr.,"Groton, Conn.",Robert E. Fitch
Endicott,III,2024,588375,,,29,Liam Stapleton,https://www.ecgulls.com/sports/msoc/2024-25/bios/stapleton_liam_fq3k,M,Fr.,"Croton on Hudson, N.Y.",Croton-Harmon
Endicott,III,2024,588375,,,30,Peyton Luther,https://www.ecgulls.com/sports/msoc/2024-25/bios/luther_peyton_h2kt,F,Fr.,"Ledyard, Conn.",Ledyard
Endicott,III,2024,588375,,,31,Jake Pezza,https://www.ecgulls.com/sports/msoc/2024-25/bios/pezza_jake_celn,F,Fr.,"North Kingstown, R.I.",North Kingstown
Endicott,III,2024,588375,,,32,Sam Cochran,https://www.ecgulls.com/sports/msoc/2024-25/bios/cochran_sam_qx6x,F,Fr.,"Cape Elizabeth, Maine",Cape Elizabeth
Endicott,III,2024,588375,,,34,Tucker Chapman,https://www.ecgulls.com/sports/msoc/2024-25/bios/chapman_tucker_dthf,M,So.,"East Burke, Vt.",St. Johnsbury Academy
Endicott,III,2024,588375,,,35,Ollie Morton,https://www.ecgulls.com/sports/msoc/2024-25/bios/morton_ollie_7iiy,F,Fr.,"Salt Lake City, Utah",Waterford School
Endicott,III,2024,588375,,,39,Fisher Mills,https://www.ecgulls.com/sports/msoc/2024-25/bios/mills_fisher_w5jc,M,Jr.,"Ridgefield, Conn.",Ridgefield
Endicott,III,2024,588375,,,44,Matheus Moreno,https://www.ecgulls.com/sports/msoc/2024-25/bios/moreno_matheus_e4n4,B,Fr.,"Danvers, Mass.",Danvers
Endicott,III,2024,588375,,,77,Gavin Goodlad,https://www.ecgulls.com/sports/msoc/2024-25/bios/goodlad_gavin_4e6g,F,So.,"Rockville Center, N.Y.",South Side
Endicott,III,2024,588375,,,99,Michael McDonough,https://www.ecgulls.com/sports/msoc/2024-25/bios/mcdonough_michael_7zym,GK,So.,"Dedham, Mass.",Dedham
Eureka,III,2024,588507,,,,,,GK,Fr.,"Elgin, Okla.",Elgin
Eureka,III,2024,588507,,,,,,GK,So.,"Champaign, Ill.",Champaign Central
Eureka,III,2024,588507,,,,,,D,So.,"Crystal Lake, Ill.",Crystal Lake Central
Eureka,III,2024,588507,,,,,,D,Fr.,"Morton, Ill.",Homeschooled
Eureka,III,2024,588507,,,,,,D,Sr.,"Streator, Ill.",Streator
Eureka,III,2024,588507,,,,,,M,Fr.,"Metamora, Ill.",Metamora Township
Eureka,III,2024,588507,,,,,,D,Jr.,"Stokesdale, N.C.",Northwest Guilford
Eureka,III,2024,588507,,,,,,F,Fr.,"Moline, Ill.",Moline
Eureka,III,2024,588507,,,,,,M,So.,"Bourbonnais, Ill.",Bradley-Bourbonnais
Eureka,III,2024,588507,,,,,,F,Jr.,"Bloomington, Ill.",Bloomington
Eureka,III,2024,588507,,,,,,M,Fr.,"Elmwood Park, Ill.",Elmwood Park
Eureka,III,2024,588507,,,,,,D,Fr.,,
Eureka,III,2024,588507,,,,,,D,Sr.,"Monticello, Ill.",Monticello
Eureka,III,2024,588507,,,,,,D,Fr.,"Chicago, Ill.",Brother Rice
Eureka,III,2024,588507,,,,,,M,Sr.,"London, UK",Netherhall Secondary School
Eureka,III,2024,588507,,,,,,D,Jr.,"McHenry, Ill.",McHenry
Eureka,III,2024,588507,,,,,,M,Jr.,"Cape Town, South Africa",Wynberg
Eureka,III,2024,588507,,,,,,M,So.,"Monticello, Ill.",Monticello
Eureka,III,2024,588507,,,,,,F,So.,"Lake Zurich, Ill.",Lake Zurich
Eureka,III,2024,588507,,,,,,F,Jr.,"Bloomington, Ill.",Bloomington
Eureka,III,2024,588507,,,,,,M,Fr.,"Bloomington, Ill.",Normal West
Eureka,III,2024,588507,,,,,,F,So.,"Oak Lawn, Ill.",Brother Rice
Eureka,III,2024,588507,,,,,,F,Fr.,"Coal City, Ill.",Coal City
Eureka,III,2024,588507,,,,,,D,So.,"Morton, Ill.",Morton
Eureka,III,2024,588507,,,,,,D,Sr.,"McDonough, Ga.",Ola
Eureka,III,2024,588507,,,,,,M,Fr.,"Lake Villa, Ill.",Grant Community
Eureka,III,2024,588507,,,,,,M,Sr.,"Bloomington, Ill.",Bloomington
Eureka,III,2024,588507,,,,,,F,Fr.,"Evansville, Ind.",Harrison
Eureka,III,2024,588507,,,,,,D,Fr.,"Pekin, Ill.",Pekin Community
Eureka,III,2024,588507,,,,,,D,So.,"Monticello, Ill.",Monticello
Eureka,III,2024,588507,,,,,,D,Fr.,"Houston, Tex.",Heights
Eureka,III,2024,588507,,,,,,M,Fr.,"Bloomington, Ill.",Bloomington
Eureka,III,2024,588507,,,,,,F,Sr.,"East Peoria, Ill.",East Peoria
Eureka,III,2024,588507,,,,,,M,Fr.,"Lake Villa, Ill.",Grant Community
Eureka,III,2024,588507,,,,,,D,So.,"Bloomington, Ill.",Normal Community
Eureka,III,2024,588507,,,,,,M,Fr.,"Kinshasa, DR Congo",Bloomington
Eureka,III,2024,588507,,,,,,M,So.,"Greenup, Ill.",Cumberland
Eureka,III,2024,588507,,,,,,GK,Jr.,"Buffalo, Ill.",Tri-City
Eureka,III,2024,588507,,,,,,GK,Sr.,"Pembroke, Ga.",Bryan County
Eureka,III,2024,588507,,,,,,GK,Fr.,,
Eureka,III,2024,588507,,,,,,Manager,Fr.,"Terre Haute, Ind.",Terre Haute South Vigo
Fitchburg State,III,2024,588510,,,,,,GK,So.,"West Boylston, MA",West Boylston
Fitchburg State,III,2024,588510,,,,,,GK,Sr.,"Collegeville, PA",Perkiomen Valley
Fitchburg State,III,2024,588510,,,,,,D,Jr.,"Marlborough, MA",Marlborough
Fitchburg State,III,2024,588510,,,,,,D,Jr.,"West Boylston, MA",West Boylston
Fitchburg State,III,2024,588510,,,,,,D,Jr.,"Brockton, MA",Brockton
Fitchburg State,III,2024,588510,,,,,,D,So.,"Boston, MA",Madison Park Tech
Fitchburg State,III,2024,588510,,,,,,M,Sr.,"Malden, MA",Malden
Fitchburg State,III,2024,588510,,,,,,M,Gr.,"Monza, Italy",Newton North
Fitchburg State,III,2024,588510,,,,,,F,Fr.,"Leominster, MA",Leominster
Fitchburg State,III,2024,588510,,,,,,F,Sr.,"Worcester, MA",Doherty Memorial
Fitchburg State,III,2024,588510,,,,,,M,Jr.,"Marshfield, MA",Marshfield
Fitchburg State,III,2024,588510,,,,,,F,Jr.,"Worcester, MA",West Boylston
Fitchburg State,III,2024,588510,,,,,,M,Fr.,"Douglas, MA",Douglas
Fitchburg State,III,2024,588510,,,,,,F,So.,"Waltham, MA",Newton North
Fitchburg State,III,2024,588510,,,,,,M,Jr.,"Worcester, MA",Doherty
Fitchburg State,III,2024,588510,,,,,,M,So.,"Bedford, NH",Bedford
Fitchburg State,III,2024,588510,,,,,,M,Fr.,"Marlborough, MA",Marlborough
Fitchburg State,III,2024,588510,,,,,,M,Sr.,"Wharton, NJ",Morris Knolls
Fitchburg State,III,2024,588510,,,,,,F,So.,"Lowell, MA",Lowell
Fitchburg State,III,2024,588510,,,,,,F,Fr.,"Attleboro, MA",Attleboro
Fitchburg State,III,2024,588510,,,,,,M,Sr.,"Fitchburg, MA",Peabody
Fitchburg State,III,2024,588510,,,,,,M,Fr.,"Worcester, MA",Advanced Math and Science Academy
Fitchburg State,III,2024,588510,,,,,,F,Sr.,"Melrose, NY",Mechanicville
Fitchburg State,III,2024,588510,,,,,,M,So.,"Nashua, NH",Nashua South
Fitchburg State,III,2024,588510,,,,,,D,Fr.,"Leominster, MA",Leominster
Fitchburg State,III,2024,588510,,,,,,D,Fr.,"Marlborough, MA",Marlborough
Fitchburg State,III,2024,588510,,,,,,D,Gr.,"Milford, MA",Douglas
Fitchburg State,III,2024,588510,,,,,,F,Fr.,"Templeton, MA",Melrose
Fitchburg State,III,2024,588510,,,,,,D,Fr.,"Hyannis, MA",Barnstable
Fitchburg State,III,2024,588510,,,,,,D,Fr.,"Clinton, MA",Leominster
Fitchburg State,III,2024,588510,,,,,,GK,Fr.,"Salem, MA",Salem
Fitchburg State,III,2024,588510,,,,,,GK,So.,"North Providence, RI",North Providence
Fontbonne,III,2024,588379,,,,,,GK,Sr.,"Fenton, Mo.",Rockwood Summit
Fontbonne,III,2024,588379,,,,,,D,Sr.,"Lebanon, Ill.",Lebanon
Fontbonne,III,2024,588379,,,,,,,,,
Fontbonne,III,2024,588379,,,,,,F,So.,"High Ridge, Mo.",Northwest-Cedar Hill
Fontbonne,III,2024,588379,,,,,,M,Sr.,"Valley Park, Mo.",Valley Park
Fontbonne,III,2024,588379,,,,,,D,Jr.,"O'Fallon, Mo.",Ft. Zumwalt West
Fontbonne,III,2024,588379,,,,,,F,Jr.,"O'Fallon, Mo.",Ft. Zumwalt West
Fontbonne,III,2024,588379,,,,,,F,Sr.,"St. Peters, Mo.",Fort Zumwalt East
Fontbonne,III,2024,588379,,,,,,M,Jr.,"Florissant, Mo.",DeSmet
Fontbonne,III,2024,588379,,,,,,MF,Sr.,"St. Louis, Mo.",Lewis and Clark
Fontbonne,III,2024,588379,,,,,,D,Jr.,"St. Louis, Mo.",Bishop DuBourg
Fontbonne,III,2024,588379,,,,,,F,Jr,"St. Louis, Mo.",Mehlville
Fontbonne,III,2024,588379,,,,,,MF,Sr.,"Orchard Farm, Mo.",Lindenwood
Fontbonne,III,2024,588379,,,,,,F,Sr.,"Webster Groves, Mo.",Webster Groves
Fontbonne,III,2024,588379,,,,,,D,Jr.,"Wildwood, Mo.",Eureka
Fontbonne,III,2024,588379,,,,,,D,Sr.,"Dallas, Tex.",Garland
Fontbonne,III,2024,588379,,,,,,GK,Jr.,"Jerseyville, Ill.",Alton Marquette
Fontbonne,III,2024,588379,,,,,,M,Sr.,"Dittmer, Mo.",Northwest-Cedar Hill
Fontbonne,III,2024,588379,,,,,,D,So.,"Mascoutah, Ill.",Mascoutah
Fontbonne,III,2024,588379,,,,,,MF,So.,"St. Charles, Mo.",Francis Howell Central
Framingham State,III,2024,588511,,,,,,GK,Jr,"Westport, MA",Atlantis Charter
Framingham State,III,2024,588511,,,,,,D,So,"Marlborough, MA",Marlborough
Framingham State,III,2024,588511,,,,,,D,Sr,"Chelmsford, MA",Chelmsford
Framingham State,III,2024,588511,,,,,,D,So,"Boston, MA",Excel Academy
Framingham State,III,2024,588511,,,,,,D,Jr,"Adelaide, Australia",Chelmsford
Framingham State,III,2024,588511,,,,,,M,Fr,"Miami Beach, FL",Miami Beach Senior
Framingham State,III,2024,588511,,,,,,M,So,"Fall River, MA",B.M.C. Durfee
Framingham State,III,2024,588511,,,,,,D,Jr,"Fogo, Cape Verde",Roxbury Preparatory
Framingham State,III,2024,588511,,,,,,F,Jr,"Copenhagen, Denmark",Muscat
Framingham State,III,2024,588511,,,,,,M,So,"Cuparaque, Brazil",Martha’s Vineyard
Framingham State,III,2024,588511,,,,,,M,Fr,"Worcester, MA",Abby Kelley Foster
Framingham State,III,2024,588511,,,,,,M,Jr,"Copenhagen, Denmark",Muscat
Framingham State,III,2024,588511,,,,,,F,So,"Belchertown, MA",Belchertown
Framingham State,III,2024,588511,,,,,,D,Jr,"Guatemala City, Guatemala",Boston Latin
Framingham State,III,2024,588511,,,,,,M,So,"Assonet, MA",Apponequet
Framingham State,III,2024,588511,,,,,,M,Jr,"Nashua, NH",Westborough
Framingham State,III,2024,588511,,,,,,M,Fr,"Miami, FL",Miami Beach
Framingham State,III,2024,588511,,,,,,F,Fr,"Watertown, MA",Watertown
Framingham State,III,2024,588511,,,,,,F,So,"Rio De Janeiro, Brazil",Herbert De Souza
Framingham State,III,2024,588511,,,,,,GK,Fr,"Bridgewater, MA",Bridgewater Raynham Regional
Framingham State,III,2024,588511,,,,,,GK,Fr,"Westborough, MA",Westborough
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Franklin Pierce,II,2024,588026,,,,,,,,,
Ga. Southwestern,II,2024,588085,,,1,Noah Kasin,https://www.gswcanes.com/sports/msoc/2024-25/bios/kasin_noah_obmt,GK,Freshman,,
Ga. Southwestern,II,2024,588085,,,2,Damean Dominguez,https://www.gswcanes.com/sports/msoc/2024-25/bios/dominguez_damean_n3pc,M,Senior,,
Ga. Southwestern,II,2024,588085,,,3,Jackson Galloway,https://www.gswcanes.com/sports/msoc/2024-25/bios/galloway_jackson_xh29,D,Senior,,
Ga. Southwestern,II,2024,588085,,,4,Will Eydam,https://www.gswcanes.com/sports/msoc/2024-25/bios/eydam_will_o9db,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,5,Daniel Romero-Ramos,https://www.gswcanes.com/sports/msoc/2024-25/bios/romero-ramos_daniel_hkse,M,Senior,,
Ga. Southwestern,II,2024,588085,,,6,Mathias Blach,https://www.gswcanes.com/sports/msoc/2024-25/bios/blach_mathias_1akg,M,Freshman,,
Ga. Southwestern,II,2024,588085,,,7,Jose Monteagudo,https://www.gswcanes.com/sports/msoc/2024-25/bios/monteagudo_jose_4bla,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,8,Alex Cobzaru,https://www.gswcanes.com/sports/msoc/2024-25/bios/cobzaru_alex_mio0,F,Sophomore,,
Ga. Southwestern,II,2024,588085,,,9,Anwar Benkandil,https://www.gswcanes.com/sports/msoc/2024-25/bios/benkandil_anwar_ijwb,F,Freshman,,
Ga. Southwestern,II,2024,588085,,,10,Andres Melendez,https://www.gswcanes.com/sports/msoc/2024-25/bios/melendez_andres_hyd6,F,Senior,,
Ga. Southwestern,II,2024,588085,,,11,Kimoni Mills,https://www.gswcanes.com/sports/msoc/2024-25/bios/mills_kimoni_b2f9,M,Junior,,
Ga. Southwestern,II,2024,588085,,,12,Kynu Samuels,https://www.gswcanes.com/sports/msoc/2024-25/bios/samuels_kynu_59n8,M,Freshman,,
Ga. Southwestern,II,2024,588085,,,13,Christyan Fevrier Sildor,https://www.gswcanes.com/sports/msoc/2024-25/bios/fevrier_sildor_christyan_wafc,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,14,Ayoob Ibrahim,https://www.gswcanes.com/sports/msoc/2024-25/bios/ibrahim_ayoob_jjil,M,Freshman,,
Ga. Southwestern,II,2024,588085,,,15,Sam Bruns,https://www.gswcanes.com/sports/msoc/2024-25/bios/bruns_sam_haqm,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,16,Christian Lopez,https://www.gswcanes.com/sports/msoc/2024-25/bios/lopez_christian_fhod,M,Freshman,,
Ga. Southwestern,II,2024,588085,,,17,Jack Malleret,https://www.gswcanes.com/sports/msoc/2024-25/bios/malleret_jack_1vzt,F,Senior,,
Ga. Southwestern,II,2024,588085,,,18,Gage Lashlee,https://www.gswcanes.com/sports/msoc/2024-25/bios/lashlee_colin_v8tg,M,Junior,,
Ga. Southwestern,II,2024,588085,,,19,Arly Medina-Ramirez,https://www.gswcanes.com/sports/msoc/2024-25/bios/medina-ramirez_arly_4h2n,M,Sophomore,,
Ga. Southwestern,II,2024,588085,,,20,Nicholas Gettridge,https://www.gswcanes.com/sports/msoc/2024-25/bios/gettridge_nicholas_yihg,D,Junior,,
Ga. Southwestern,II,2024,588085,,,21,Diwash Thapa,https://www.gswcanes.com/sports/msoc/2024-25/bios/thapa_diwakar_2z5z,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,22,Brayden Wood,https://www.gswcanes.com/sports/msoc/2024-25/bios/wood_brayden_0yc8,M,Senior,,
Ga. Southwestern,II,2024,588085,,,23,Juan Ramirez,https://www.gswcanes.com/sports/msoc/2024-25/bios/ramirez_juan_be8z,GK,Senior,,
Ga. Southwestern,II,2024,588085,,,24,Jonathan Bedard,https://www.gswcanes.com/sports/msoc/2024-25/bios/bedard_jonathan_0y2u,D,Sophomore,,
Ga. Southwestern,II,2024,588085,,,26,Axel-Ambroise Gravel,https://www.gswcanes.com/sports/msoc/2024-25/bios/gravel_axel-ambroise_3oti,M,Sophomore,,
Ga. Southwestern,II,2024,588085,,,27,Alexander Lozano,https://www.gswcanes.com/sports/msoc/2024-25/bios/lozano_alexander_7a96,F,R-Sophomore,,
Ga. Southwestern,II,2024,588085,,,29,Toby Longnecker,https://www.gswcanes.com/sports/msoc/2024-25/bios/longnecker_toby_ol5p,M,Freshman,,
Ga. Southwestern,II,2024,588085,,,30,Dante Johnson,https://www.gswcanes.com/sports/msoc/2024-25/bios/johnson_dante_j6c6,M,Sophomore,,
Ga. Southwestern,II,2024,588085,,,35,Nathan Grady,https://www.gswcanes.com/sports/msoc/2024-25/bios/grady_nathan_6lr8,GK,Freshman,,
Goucher,III,2024,588323,,,,,,Defense,FY,"Ellicott City, Md.",Marriotts Ridge
Goucher,III,2024,588323,,,,,,Defense,Jr.,"Hyattsville, Md.",Charles Herbert Flowers High School
Goucher,III,2024,588323,,,,,,Midfield,Sr.,"Los Angeles, Calif.",Waverly
Goucher,III,2024,588323,,,,,,Forward,Jr.,"Eldersburg, Md.",Century
Goucher,III,2024,588323,,,,,,Midfield,Sr.,"Hereford, Md.",Hereford
Goucher,III,2024,588323,,,,,,Defense,Sr.,"South Portland, Maine",South Portland
Goucher,III,2024,588323,,,,,,Midfield,Jr.,"Rockville, Md.",Richard Montgomery
Goucher,III,2024,588323,,,,,,Forward,So.,"Crofton, Md.",Crofton
Goucher,III,2024,588323,,,,,,Midfielder,FY,"Hyattsville, Md.",Eleanor Roosevelt
Goucher,III,2024,588323,,,,,,Forward,Sr.,"Bowie, Md.",Bowie
Goucher,III,2024,588323,,,,,,Midfield,Jr.,"Caracas, Venezuela",Oceanside Collegiate Academy
Goucher,III,2024,588323,,,,,,Goalkeeper,FY,"Gaithersburg, Md.",Col. Zadok Magruder
Goucher,III,2024,588323,,,,,,Defense,So.,"Upper Marlboro, Md.",DeMatha Catholic
Goucher,III,2024,588323,,,,,,Midfield,So.,"Towson, Md.",Calvert Hall
Goucher,III,2024,588323,,,,,,Defense,Jr.,"Perkasie, Pa.",Pennridge
Goucher,III,2024,588323,,,,,,Defense,So.,"Riverdale, Md.",International HS at Langley Park
Goucher,III,2024,588323,,,,,,Midfield,Jr.,"Velp, The Netherlands",Stedelijk Gymnasium Arnhem
Goucher,III,2024,588323,,,,,,Forward,Sr.,"Charlottesville, Va.",Albermarle
Goucher,III,2024,588323,,,,,,Forward,FY,"Laurel, Md.",Reservoir
Goucher,III,2024,588323,,,,,,Defense,Jr.,"Potomac, Md.",Richard Montgomery
Goucher,III,2024,588323,,,,,,Midfield,Sr.,"Baltimore, Md.",Towson
Goucher,III,2024,588323,,,,,,Midfield,So.,"Stevensville, Md.",Kent Island
Goucher,III,2024,588323,,,,,,Defense,So.,"Olney, Md.",Sandy Spring Friends School
Goucher,III,2024,588323,,,,,,Midfield,FY,"Lutherville, Md.",Towson
Goucher,III,2024,588323,,,,,,Forward,So.,"Kampala, Uganda",Baltimore City College
Goucher,III,2024,588323,,,,,,Defense,FY,"Gaithersburg, Md.",Colonel Zadok Magruder
Goucher,III,2024,588323,,,,,,Forward,FY,"Bel Air, Md.",C. Milton Wright
Goucher,III,2024,588323,,,,,,Forward,Sr.,"Guatemala City, Guatemala",International HS at Langley Park
Goucher,III,2024,588323,,,,,,Midfield,Jr.,"Ellicott City, Md.",River Hill
Goucher,III,2024,588323,,,,,,Midfield,FY,"Montgomery Village, Md.",Clarksburg
Goucher,III,2024,588323,,,,,,Goalkeeper,FY,"Fredericksburg, Va.",Massaponax
Goucher,III,2024,588323,,,,,,Goalkeeper,Jr.,"Rome, Italy",Williston Northampton School
Goucher,III,2024,588323,,,,,,Midfielder,FY,"Leonardtown, Md.",Leonardtown High School
Goucher,III,2024,588323,,,,,,Midfielder,FY,"Palm Bay, Fla.",Palm Bay Magnet
Greenville,III,2024,588292,,,,,,GK,Jr,"Queretaro, Mexico",Celta
Greenville,III,2024,588292,,,,,,D,So,"Medllin, Colombia",Vermont School Medllin
Greenville,III,2024,588292,,,,,,M/D,Sr,"Mexico City, Mexico",Centro Universitario Mexico
Greenville,III,2024,588292,,,,,,D,Jr,"Cuautitlan Izcalli, Mexico",Preparatoria Abierto
Greenville,III,2024,588292,,,,,,D,Fr,"Springfield, Ill.",Glenwood
Greenville,III,2024,588292,,,,,,D,So,"Ibague, Colombia",Los Samanes
Greenville,III,2024,588292,,,,,,F,So,"Cadiz, Spain",Isla Verde
Greenville,III,2024,588292,,,,,,F,Sr,"Leon, Spain",Escuela Profesional San Francisco
Greenville,III,2024,588292,,,,,,F,Fr,"Cologne, Germany",Max Ernst Gesamtschule
Greenville,III,2024,588292,,,,,,F,Sr,"Cordoba, Spain",Almedina
Greenville,III,2024,588292,,,,,,F,So,Guatemala,Colegio Verbo
Greenville,III,2024,588292,,,,,,GK,So,"Malaga, Spain",IES Mediterraneo
Greenville,III,2024,588292,,,,,,F,Sr,"Madrid, Spain",Montpellier
Greenville,III,2024,588292,,,,,,M,Fr,"Belleville, Ill.",Belleville East
Greenville,III,2024,588292,,,,,,D,Sr,"Cuernavaca, Mexico",Cumbres Cveinavaca
Greenville,III,2024,588292,,,,,,M,Jr,"Jundiai, Brazil",Rancho Christian
Greenville,III,2024,588292,,,,,,M,Jr,"Mexico City, Mexico",Westhill Institute
Greenville,III,2024,588292,,,,,,D,Fr,"Hamburg, Germany",Hahnheide Schule
Greenville,III,2024,588292,,,,,,F/M,Fr,"Tenerife, Spain",Luther King San Miguel
Greenville,III,2024,588292,,,,,,F/M,Jr,"Bogota, Columbia",Windermere
Greenville,III,2024,588292,,,,,,,So,"Sevilla, Spain",IES Al Iscar
Greenville,III,2024,588292,,,,,,D,Fr,"La Cortinada, Andorra",Agora International
Greenville,III,2024,588292,,,,,,F/M,So,"Marburg, Germany",Martin-Luther Schule
