jersey,name,url,position,class,hometown,high_school,team,division,season
14,Jado Masambeta,https://www.gowasps.com/sports/msoc/2024-25/bios/masambeta_jado_zuys,F,,,,Emory & Henry,II,2024
15,Christian Russell,https://www.gowasps.com/sports/msoc/2024-25/bios/russell_christian_37o0,M,,,,Emory & Henry,II,2024
16,"Cesar Tobar Monge, Jr.",https://www.gowasps.com/sports/msoc/2024-25/bios/tobar_monge-_jr._cesar_0rhb,F,,,,Emory & Henry,II,2024
17,Josiah Garrett,https://www.gowasps.com/sports/msoc/2024-25/bios/garrett_josiah_2g48,M/F,,,,Emory & Henry,II,2024
18,Mohamed Elarag,https://www.gowasps.com/sports/msoc/2024-25/bios/elarag_mohamed_jazp,F,,,,Emory & Henry,II,2024
19,Alef Pezan,https://www.gowasps.com/sports/msoc/2024-25/bios/pezan_alef_3tpp,F,,,,Emory & Henry,II,2024
20,Tyler Dunn,https://www.gowasps.com/sports/msoc/2024-25/bios/dunn_tyler_4lns,D,,,,Emory & Henry,II,2024
21,Beh Reh,https://www.gowasps.com/sports/msoc/2024-25/bios/reh_beh_gdb5,D/F,,,,Emory & Henry,II,2024
22,Stephen Smith,https://www.gowasps.com/sports/msoc/2024-25/bios/smith_stephen_3gez,D,,,,Emory & Henry,II,2024
23,Daniel Martinez-Flores,https://www.gowasps.com/sports/msoc/2024-25/bios/martinez-flores_daniel_hc2z,D,,,,Emory & Henry,II,2024
24,Patricio Diaz Del Olmo Calvo,https://www.gowasps.com/sports/msoc/2024-25/bios/diaz_del_olmo_calvo_patricio_24il,D,,,,Emory & Henry,II,2024
25,Griffin Hall,https://www.gowasps.com/sports/msoc/2024-25/bios/hall_griffin_9flr,M,,,,Emory & Henry,II,2024
27,Gabe Franco,https://www.gowasps.com/sports/msoc/2024-25/bios/franco_gabe_lsrn,M,,,,Emory & Henry,II,2024
29,Reed Mitchel,https://www.gowasps.com/sports/msoc/2024-25/bios/mitchel_reed_qxfs,M,,,,Emory & Henry,II,2024
30,Ethan Hayes,https://www.gowasps.com/sports/msoc/2024-25/bios/hayes_ethan_u095,M,,,,Emory & Henry,II,2024
31,Grayson Cunningham,https://www.gowasps.com/sports/msoc/2024-25/bios/cunningham_grayson_mb8g,D,,,,Emory & Henry,II,2024
37,Jimmy Duquette,https://www.gowasps.com/sports/msoc/2024-25/bios/duquette_jimmy_gll9,GK,,,,Emory & Henry,II,2024
0,Brady O'Toole,https://www.ecgulls.com/sports/msoc/2024-25/bios/o-toole_brady_tcow,GK,Fr.,"Concord, Mass.",Concord-Carlisle,Endicott,III,2024
1,Kyle Rosa,https://www.ecgulls.com/sports/msoc/2024-25/bios/rosa_kyle_1wn7,GK,Sr.,"Norton, Mass.",Norton,Endicott,III,2024
2,Max McCurdy,https://www.ecgulls.com/sports/msoc/2024-25/bios/mccurdy_max_0ogw,M,Sr.,"South Hadley, Mass.",South Hadley,Endicott,III,2024
3,Camden Rigney,https://www.ecgulls.com/sports/msoc/2024-25/bios/rigney_camden_8ht6,B,Sr.,"Wilbraham, Mass.",Minnechaug,Endicott,III,2024
4,Konrad Krysztoforski,https://www.ecgulls.com/sports/msoc/2024-25/bios/krysztoforski_konrad_nxc0,B,Jr.,"Bydgoszcz, Poland",Immaculate Heart Central,Endicott,III,2024
5,Matt Misiaszek,https://www.ecgulls.com/sports/msoc/2024-25/bios/misiaszek_matt_n1ts,F,Jr.,"Londonderry, N.H.",Londonderry,Endicott,III,2024
6,Carmine DiPietrantonio,https://www.ecgulls.com/sports/msoc/2024-25/bios/dipietrantonio_carmine_s06t,M,Jr.,"Boxford, Mass.",Bridgton Academy,Endicott,III,2024
7,Codan Foley,https://www.ecgulls.com/sports/msoc/2024-25/bios/foley_codan_zgpy,B,Sr.,"Carver, Mass.",Carver,Endicott,III,2024
8,Hayden Laske,https://www.ecgulls.com/sports/msoc/2024-25/bios/laske_hayden_kwfq,B,Gr.,"Wethersfield, Conn.",Wethersfield,Endicott,III,2024
9,Cole Fergusson,https://www.ecgulls.com/sports/msoc/2024-25/bios/fergusson_cole_oj6k,F,Sr.,"South Salem, N.Y.",John Jay Cross River,Endicott,III,2024
10,Joe Cusack,https://www.ecgulls.com/sports/msoc/2024-25/bios/cusack_joe_2ata,M,Gr.,"Foxboro, Mass.",Foxboro,Endicott,III,2024
11,Max Karkos,https://www.ecgulls.com/sports/msoc/2024-25/bios/karkos_max_7ul6,F,Gr.,"Wethersfield, Conn.",Wethersfield,Endicott,III,2024
12,Ryan Gerry,https://www.ecgulls.com/sports/msoc/2024-25/bios/gerry_ryan_qpg7,F,Jr.,"Durham, Conn.",Xavier,Endicott,III,2024
13,Babak Bakhtiari,https://www.ecgulls.com/sports/msoc/2024-25/bios/bakhtiari_babak_rzcq,F,Sr.,"Wilmington, Mass.",Central Catholic,Endicott,III,2024
14,Billy deCastro,https://www.ecgulls.com/sports/msoc/2024-25/bios/decastro_billy_a6ax,B,Jr.,"Stonington, Conn.",Stonington,Endicott,III,2024
15,Aidan Sheehan,https://www.ecgulls.com/sports/msoc/2024-25/bios/sheehan_aidan_bsxe,M,So.,"Arlington, Mass.",Arlington,Endicott,III,2024
16,Conor Rooney,https://www.ecgulls.com/sports/msoc/2024-25/bios/rooney_conor_otgu,M,Jr.,"Monroe, Conn.",Masuk,Endicott,III,2024
17,Matt Duarte,https://www.ecgulls.com/sports/msoc/2024-25/bios/duarte_matt_qit1,B,Sr.,"Rehoboth, Mass.",Dighton-Rehoboth,Endicott,III,2024
18,Colin Achatz,https://www.ecgulls.com/sports/msoc/2024-25/bios/achatz_colin_c194,B,Jr.,"Longmeadow, Mass.",Longmeadow,Endicott,III,2024
19,Tiago Frazao,https://www.ecgulls.com/sports/msoc/2024-25/bios/frazao_tiago_dh57,M,Gr.,"Trumbull, Conn.",Trumbull,Endicott,III,2024
20,Ben Baker,https://www.ecgulls.com/sports/msoc/2024-25/bios/baker_ben_9f4o,B,Fr.,"Albany, N.Y.",Christian Brothers Academy,Endicott,III,2024
21,Sean Catino,https://www.ecgulls.com/sports/msoc/2024-25/bios/catino_sean_hhfh,M,Jr.,"Bridgewater, Mass.",Bridgewater-Raynham,Endicott,III,2024
22,Carter McCoy,https://www.ecgulls.com/sports/msoc/2024-25/bios/mccoy_carter_6jii,B,Jr.,"Monroe, Conn.",Masuk,Endicott,III,2024
23,Kyle Montalvo,https://www.ecgulls.com/sports/msoc/2024-25/bios/montalvo_kyle_4m7s,B,Fr.,"Smithtown, N.Y.",Patchogue-Medford,Endicott,III,2024
24,Travis Perrault,https://www.ecgulls.com/sports/msoc/2024-25/bios/perrault_travis_a6ea,B,Jr.,"Ashburnham, Mass.",Lawrence Academy,Endicott,III,2024
25,Michael Lysiak,https://www.ecgulls.com/sports/msoc/2024-25/bios/lysiak_michael_t4e3,B,So.,"Paxton, Mass.",Wachusett,Endicott,III,2024
26,George French,https://www.ecgulls.com/sports/msoc/2024-25/bios/french_george_e0xg,M,Jr.,"Monroe, Conn.",Masuk,Endicott,III,2024
27,Jason Ferrandino,https://www.ecgulls.com/sports/msoc/2024-25/bios/ferrandino_jason_e211,M,Jr.,"Upton, Mass.",Nipmuc,Endicott,III,2024
28,Tim Lynch,https://www.ecgulls.com/sports/msoc/2024-25/bios/lynch_tim_hvxn,M,Jr.,"Groton, Conn.",Robert E. Fitch,Endicott,III,2024
29,Liam Stapleton,https://www.ecgulls.com/sports/msoc/2024-25/bios/stapleton_liam_fq3k,M,Fr.,"Croton on Hudson, N.Y.",Croton-Harmon,Endicott,III,2024
30,Peyton Luther,https://www.ecgulls.com/sports/msoc/2024-25/bios/luther_peyton_h2kt,F,Fr.,"Ledyard, Conn.",Ledyard,Endicott,III,2024
31,Jake Pezza,https://www.ecgulls.com/sports/msoc/2024-25/bios/pezza_jake_celn,F,Fr.,"North Kingstown, R.I.",North Kingstown,Endicott,III,2024
32,Sam Cochran,https://www.ecgulls.com/sports/msoc/2024-25/bios/cochran_sam_qx6x,F,Fr.,"Cape Elizabeth, Maine",Cape Elizabeth,Endicott,III,2024
34,Tucker Chapman,https://www.ecgulls.com/sports/msoc/2024-25/bios/chapman_tucker_dthf,M,So.,"East Burke, Vt.",St. Johnsbury Academy,Endicott,III,2024
35,Ollie Morton,https://www.ecgulls.com/sports/msoc/2024-25/bios/morton_ollie_7iiy,F,Fr.,"Salt Lake City, Utah",Waterford School,Endicott,III,2024
39,Fisher Mills,https://www.ecgulls.com/sports/msoc/2024-25/bios/mills_fisher_w5jc,M,Jr.,"Ridgefield, Conn.",Ridgefield,Endicott,III,2024
44,Matheus Moreno,https://www.ecgulls.com/sports/msoc/2024-25/bios/moreno_matheus_e4n4,B,Fr.,"Danvers, Mass.",Danvers,Endicott,III,2024
77,Gavin Goodlad,https://www.ecgulls.com/sports/msoc/2024-25/bios/goodlad_gavin_4e6g,F,So.,"Rockville Center, N.Y.",South Side,Endicott,III,2024
99,Michael McDonough,https://www.ecgulls.com/sports/msoc/2024-25/bios/mcdonough_michael_7zym,GK,So.,"Dedham, Mass.",Dedham,Endicott,III,2024
1,Noah Kasin,https://www.gswcanes.com/sports/msoc/2024-25/bios/kasin_noah_obmt,GK,Freshman,,,Ga. Southwestern,II,2024
2,Damean Dominguez,https://www.gswcanes.com/sports/msoc/2024-25/bios/dominguez_damean_n3pc,M,Senior,,,Ga. Southwestern,II,2024
3,Jackson Galloway,https://www.gswcanes.com/sports/msoc/2024-25/bios/galloway_jackson_xh29,D,Senior,,,Ga. Southwestern,II,2024
4,Will Eydam,https://www.gswcanes.com/sports/msoc/2024-25/bios/eydam_will_o9db,D,Sophomore,,,Ga. Southwestern,II,2024
5,Daniel Romero-Ramos,https://www.gswcanes.com/sports/msoc/2024-25/bios/romero-ramos_daniel_hkse,M,Senior,,,Ga. Southwestern,II,2024
6,Mathias Blach,https://www.gswcanes.com/sports/msoc/2024-25/bios/blach_mathias_1akg,M,Freshman,,,Ga. Southwestern,II,2024
7,Jose Monteagudo,https://www.gswcanes.com/sports/msoc/2024-25/bios/monteagudo_jose_4bla,D,Sophomore,,,Ga. Southwestern,II,2024
8,Alex Cobzaru,https://www.gswcanes.com/sports/msoc/2024-25/bios/cobzaru_alex_mio0,F,Sophomore,,,Ga. Southwestern,II,2024
9,Anwar Benkandil,https://www.gswcanes.com/sports/msoc/2024-25/bios/benkandil_anwar_ijwb,F,Freshman,,,Ga. Southwestern,II,2024
10,Andres Melendez,https://www.gswcanes.com/sports/msoc/2024-25/bios/melendez_andres_hyd6,F,Senior,,,Ga. Southwestern,II,2024
11,Kimoni Mills,https://www.gswcanes.com/sports/msoc/2024-25/bios/mills_kimoni_b2f9,M,Junior,,,Ga. Southwestern,II,2024
12,Kynu Samuels,https://www.gswcanes.com/sports/msoc/2024-25/bios/samuels_kynu_59n8,M,Freshman,,,Ga. Southwestern,II,2024
13,Christyan Fevrier Sildor,https://www.gswcanes.com/sports/msoc/2024-25/bios/fevrier_sildor_christyan_wafc,D,Sophomore,,,Ga. Southwestern,II,2024
14,Ayoob Ibrahim,https://www.gswcanes.com/sports/msoc/2024-25/bios/ibrahim_ayoob_jjil,M,Freshman,,,Ga. Southwestern,II,2024
15,Sam Bruns,https://www.gswcanes.com/sports/msoc/2024-25/bios/bruns_sam_haqm,D,Sophomore,,,Ga. Southwestern,II,2024
16,Christian Lopez,https://www.gswcanes.com/sports/msoc/2024-25/bios/lopez_christian_fhod,M,Freshman,,,Ga. Southwestern,II,2024
17,Jack Malleret,https://www.gswcanes.com/sports/msoc/2024-25/bios/malleret_jack_1vzt,F,Senior,,,Ga. Southwestern,II,2024
18,Gage Lashlee,https://www.gswcanes.com/sports/msoc/2024-25/bios/lashlee_colin_v8tg,M,Junior,,,Ga. Southwestern,II,2024
19,Arly Medina-Ramirez,https://www.gswcanes.com/sports/msoc/2024-25/bios/medina-ramirez_arly_4h2n,M,Sophomore,,,Ga. Southwestern,II,2024
20,Nicholas Gettridge,https://www.gswcanes.com/sports/msoc/2024-25/bios/gettridge_nicholas_yihg,D,Junior,,,Ga. Southwestern,II,2024
21,Diwash Thapa,https://www.gswcanes.com/sports/msoc/2024-25/bios/thapa_diwakar_2z5z,D,Sophomore,,,Ga. Southwestern,II,2024
22,Brayden Wood,https://www.gswcanes.com/sports/msoc/2024-25/bios/wood_brayden_0yc8,M,Senior,,,Ga. Southwestern,II,2024
23,Juan Ramirez,https://www.gswcanes.com/sports/msoc/2024-25/bios/ramirez_juan_be8z,GK,Senior,,,Ga. Southwestern,II,2024
24,Jonathan Bedard,https://www.gswcanes.com/sports/msoc/2024-25/bios/bedard_jonathan_0y2u,D,Sophomore,,,Ga. Southwestern,II,2024
26,Axel-Ambroise Gravel,https://www.gswcanes.com/sports/msoc/2024-25/bios/gravel_axel-ambroise_3oti,M,Sophomore,,,Ga. Southwestern,II,2024
27,Alexander Lozano,https://www.gswcanes.com/sports/msoc/2024-25/bios/lozano_alexander_7a96,F,R-Sophomore,,,Ga. Southwestern,II,2024
29,Toby Longnecker,https://www.gswcanes.com/sports/msoc/2024-25/bios/longnecker_toby_ol5p,M,Freshman,,,Ga. Southwestern,II,2024
30,Dante Johnson,https://www.gswcanes.com/sports/msoc/2024-25/bios/johnson_dante_j6c6,M,Sophomore,,,Ga. Southwestern,II,2024
35,Nathan Grady,https://www.gswcanes.com/sports/msoc/2024-25/bios/grady_nathan_6lr8,GK,Freshman,,,Ga. Southwestern,II,2024
0,Simon Bank,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/bank_simon_1njb,GK,,"Los Angeles, Calif.",Geffen Academy at UCLA,Haverford,III,2024
1,Jackson Simon,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/simon_jackson_t5ba,GK,,"Santa Monica, Calif.",Crossroads,Haverford,III,2024
3,Reed Sussman,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/sussman_reed_od7p,M/D,,"Dallas, Texas",St. Mark's School of Texas,Haverford,III,2024
4,Josh Brown,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/brown_josh_7jq6,M/D,,"Shaker Heights, Ohio",Shaker Heights,Haverford,III,2024
5,Pavel Yurkov,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/yurkov_pavel_g2l8,M/D,,"Summit, N.J.",Summit,Haverford,III,2024
6,Max Lovinger,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/lovinger_max_jero,M,,"Chevy Chase, Md.",Bethesda-Chevy Chase,Haverford,III,2024
7,Aaron Park,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/park_aaron_xdc7,M,,"Cumberland, Maine",Greely,Haverford,III,2024
9,Andrew Fritz,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/fritz_andrew_3892,F,,"Ellicott City, Md.",Centennial,Haverford,III,2024
10,Thomas Vanni,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/vanni_thomas_gmuz,M,,"Wilmington, Del.",Tower Hill School,Haverford,III,2024
11,Gabe Knopf,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/knopf_gabe_v8dd,M,,"New York, N.Y.",Fieldston,Haverford,III,2024
12,John Dowd,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/dowd_john_6nwt,M,,"Washington, D.C.",Maret School,Haverford,III,2024
14,Jack Bonner,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/bonner_jack_yo7p,M,,"Malvern, Pa.",Episcopal Academy,Haverford,III,2024
15,Derek Zhang,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/zhang_derek_xhhq,D,,"Garnet Valley, Pa.",Deerfield Academy,Haverford,III,2024
16,Jonathan D'Amour,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/d-armour_jonathan_sobn,M,,"Dennis, Mass.",Worcester Academy,Haverford,III,2024
17,Tyler Jones,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/jones_tyler_foko,D,,"Natick, Mass.",Buckingham Browne and Nichols,Haverford,III,2024
18,Aidan Lacy,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/lacy_aidan_36bx,M,,"Raymore, Mo.",Pembroke Hill,Haverford,III,2024
19,Aidan Griggs,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/griggs_aidan_l6ez,M,,"Sonoma, Calif.",Sonoma Valley,Haverford,III,2024
20,Austin Emile,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/emile_austin_zh5m,D,,"New Rochelle, N.Y.",Ethical Culture Fieldston School,Haverford,III,2024
21,Juan Rivera,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/rivera_juan_vn5a,M,,"Miami, Fla.",Ransom Everglades,Haverford,III,2024
22,Kieran Kunihiro,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/kunihiro_kieran_0pll,D,,"Menlo Park, Calif.",Menlo-Atherton,Haverford,III,2024
24,Carter Kroenke,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/kroenke_carter_717q,D,,"Portland, Ore.",Ida B. Wells,Haverford,III,2024
25,Joey Carol,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/carol_joey_0d6o,M,,"Cornelius, N.C.",Woodlawn School,Haverford,III,2024
26,Conrad Coyanda-Parkzes,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/coyanda-parkzes_conrad_7nmh,D,,"Watertown, Conn.",The Taft School,Haverford,III,2024
27,Aidan Rodriguez,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/rodriguez_aidan_jk7k,F,,"Berkeley, Calif.",Berkeley,Haverford,III,2024
28,Saylen Cardoni,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/cardoni_saylen_c01e,M,,"Lafayette, Calif.",Acalanes,Haverford,III,2024
33,Ollie McNamara,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/mcnamara_oliver_zaf6,GK,,"Somerville, Mass.",Buckingham Browne and Nichols,Haverford,III,2024
39,Oscar Guardo,https://www.haverfordathletics.com/sports/msoc/2024-25/bios/guardo_oscar_e1ug,D/M,,"Los Angeles, Calif.",Crossroads,Haverford,III,2024
0,Gavin Robb,https://www.juniatasports.net/sports/msoc/2024-25/bios/robb_gavin_xttk,GK,So.,Penns Valley,Penns Valley H.S.,Juniata,III,2024
1,Jackson Gamel,https://www.juniatasports.net/sports/msoc/2024-25/bios/gamel_jackson_6uvw,GK,Jr.,"Burlington Township, N.J.",Burlington Township High School,Juniata,III,2024
2,Aidan Carlisle,https://www.juniatasports.net/sports/msoc/2024-25/bios/carlisle_aidan_77hw,D,Fy.,,,Juniata,III,2024
3,Victor Vandenbroek,https://www.juniatasports.net/sports/msoc/2024-25/bios/vandenbroek_victor_sdjz,M,Sr.,"Sarasota, Fla.",IMG Academy,Juniata,III,2024
5,Nathan Weick,https://www.juniatasports.net/sports/msoc/2024-25/bios/weick_nathan_cukh,M,Jr.,"Cinnaminson, N.J.",Cinnaminson High School,Juniata,III,2024
6,Ty Mazzarella,https://www.juniatasports.net/sports/msoc/2024-25/bios/mazzarella_ty_o861,D,Jr.,"York, Pa.",Dallastown Area High School,Juniata,III,2024
7,Shawn Tanaka,https://www.juniatasports.net/sports/msoc/2024-25/bios/tanaka_shawn_ryota_t5h5,F,Fy.,"Tokyo, JP",Ryukei University Kashiwa H.S.,Juniata,III,2024
8,Adrian Dahl,https://www.juniatasports.net/sports/msoc/2024-25/bios/dahl_adrian_tu5o,F,Fy.,"Hummelstown, Pa.",Hershey H. S.,Juniata,III,2024
9,Brant Walters,https://www.juniatasports.net/sports/msoc/2024-25/bios/walters_brant_tvm4,D,So.,"Mifflintown, Pa.",Juniata HS,Juniata,III,2024
10,Jacob Haynes,https://www.juniatasports.net/sports/msoc/2024-25/bios/haynes_jacob_62k2,M,So.,"Atlanta, Ga.",Lanier HS,Juniata,III,2024
11,Jayden Gaynor,https://www.juniatasports.net/sports/msoc/2024-25/bios/gaynor_jayden_k6h6,F,So.,"Brampton, Ontario",Western Reserve Academy,Juniata,III,2024
12,Kerry Forney,https://www.juniatasports.net/sports/msoc/2024-25/bios/forney_kerry_zhz8,M,So.,"Millersburg, Pa.",Millersburg HS,Juniata,III,2024
13,Jase Colino,https://www.juniatasports.net/sports/msoc/2024-25/bios/colino_jase_hirm,D,So.,"Lancaster, Pa.",Hempfield HS,Juniata,III,2024
14,Nico Betancourt,https://www.juniatasports.net/sports/msoc/2024-25/bios/betancourt_nicolas_d31v,F,Fy.,"Maracaibo, VE",UE Colegio Bellas Artes,Juniata,III,2024
15,Donovan Goad,https://www.juniatasports.net/sports/msoc/2024-25/bios/goad_donovan_eeqn,D,Sr.,"Frederick, MD",Gov. Thomas Johnson HS,Juniata,III,2024
16,Advait Sawant,https://www.juniatasports.net/sports/msoc/2024-25/bios/sawant_advait_r66t,D,So.,"Mumbai, India",Corvuss American Academy,Juniata,III,2024
17,Brandon Marzula,https://www.juniatasports.net/sports/msoc/2024-25/bios/marzula_brandon_51sm,M,Jr.,"Wexford, Pa.",North Allegeny High School,Juniata,III,2024
18,Beckett Young,https://www.juniatasports.net/sports/msoc/2024-25/bios/young_beckett_okjl,M,Fy.,"Swarthmore, Pa.",Strath Haven,Juniata,III,2024
19,Bennet Calaman,https://www.juniatasports.net/sports/msoc/2024-25/bios/calaman_bennet_u9xv,D,Fy.,"Dillsburg, Pa.",Northern H.S.,Juniata,III,2024
20,Jozef Christman,https://www.juniatasports.net/sports/msoc/2024-25/bios/christman_jozef_o3ru,D,Fy.,"Mt.Airy, Pa.",Friends Central,Juniata,III,2024
22,Gavin Rauhut,https://www.juniatasports.net/sports/msoc/2024-25/bios/rauhut_gavin_8utq,D,Jr.,"Boiling Springs, Pa.",Boiling Spring High School,Juniata,III,2024
23,Zachary Anagnos,https://www.juniatasports.net/sports/msoc/2024-25/bios/anagnos_zachary_w7yi,D,So.,"Wayne, Pa.",The Shipley School,Juniata,III,2024
24,Sean Weiland,https://www.juniatasports.net/sports/msoc/2024-25/bios/weiland_sean_j5aj,D,Sr.,"Frederick, Md.",Governor Thomas Johnson,Juniata,III,2024
25,John Hanosek,https://www.juniatasports.net/sports/msoc/2024-25/bios/hanosek_john_yeyz,D,Sr.,"Palmyra, Pa.",Palmyra Area,Juniata,III,2024
27,Harshaan Grewal,https://www.juniatasports.net/sports/msoc/2024-25/bios/grewal_harshaan_g53u,D,Jr.,"Grantville, Pa.",Lower Dauphin HS,Juniata,III,2024
28,Gio Amesti,https://www.juniatasports.net/sports/msoc/2024-25/bios/amesti_giovanni_a31o,M,Fy.,"Ronkonkoma, N.Y",Sachem East H. S.,Juniata,III,2024
30,Ryan Angelone,https://www.juniatasports.net/sports/msoc/2024-25/bios/angelone_ryan_tzu1,D,So.,"Berlin, N.J.",Eastern Regional HS,Juniata,III,2024
31,Anthony Winkler,https://www.juniatasports.net/sports/msoc/2024-25/bios/winkler_anthony_wx2x,GK,Fy.,"New City, NY",Clarkstown H. S. South,Juniata,III,2024
33,Jalen Holliday,https://www.juniatasports.net/sports/msoc/2024-25/bios/holliday_jalen_pu5i,F,So.,"McLean, Va.",McLean HS,Juniata,III,2024
34,Rowan Revata,https://www.juniatasports.net/sports/msoc/2024-25/bios/revata_rowan_n8ce,M,So.,"Muncy, Pa.",Muncy HS,Juniata,III,2024
39,Maxwell Mattioni,https://www.juniatasports.net/sports/msoc/2024-25/bios/mattioni_maxwell_35ep,GK,So.,"Drexel Hill, Pa.",Friends Central School,Juniata,III,2024
1,Maddox Anderson,https://www.larochesports.com/sports/msoc/2024-25/bios/anderson_maddox_bcgb,Goalkeeper,Freshman,"New Kensington, Pa.",California Univ. (Pa.)/Kiski Area HS,La Roche,III,2024
2,Brennan Cowen,https://www.larochesports.com/sports/msoc/2024-25/bios/cowen_brennan_jhp8,Defender,Sophomore,"South Park, Pa.",South Park HS,La Roche,III,2024
3,Aiden Mukanos-Kramer,https://www.larochesports.com/sports/msoc/2024-25/bios/mukanos-kramer_aiden_mmq8,,Freshman,"Aliquippa, Pa.",Hopewell HS,La Roche,III,2024
4,Mario Pinilla Pont,https://www.larochesports.com/sports/msoc/2024-25/bios/pinilla_pont_mario_fiad,Defense,Junior,"Barcelona, Spain",Escola Sant Gregori HS,La Roche,III,2024
5,Anthony Valerio,https://www.larochesports.com/sports/msoc/2024-25/bios/valerio_anthony_l6ch,Midfield,Junior,"Elizabeth, Pa.",Elizabeth Forward HS,La Roche,III,2024
6,Landon Mukanos-Kramer,https://www.larochesports.com/sports/msoc/2024-25/bios/mukanos-kramer_landon_zikf,,Freshman,"Aliquippa, Pa.",Hopewell HS,La Roche,III,2024
7,Caden Malek,https://www.larochesports.com/sports/msoc/2024-25/bios/malek_caden_llnr,Forward,Junior,"McElhattan, Pa.",Central Mountain HS,La Roche,III,2024
8,Jesus Angel Jimenez,https://www.larochesports.com/sports/msoc/2024-25/bios/angel_jimenez_jesus_shqh,Forward,Senior,"Indianapolis, Ind.",Bethel Univ./Lawrence North HS,La Roche,III,2024
9,Jaden Winterhalter,https://www.larochesports.com/sports/msoc/2024-25/bios/winterhalter_jaden_ajkb,,Freshman,"Industry, Pa.",Western Beaver HS,La Roche,III,2024
10,Tyler Bryan,https://www.larochesports.com/sports/msoc/2024-25/bios/bryan_tyler_x5qk,Midfield,Senior,"Pittsburgh, Pa.",Avonworth HS,La Roche,III,2024
11,Malvin Madzimbamuto,https://www.larochesports.com/sports/msoc/2024-25/bios/madzimbamuto_malvin_aqop,Forward,Sophomore,"Bulawayo, Zimbabwe",Juniata College/St. Thomas School,La Roche,III,2024
12,Niko Manos,https://www.larochesports.com/sports/msoc/2024-25/bios/manos_niko_92bm,Defense,Sophomore,"Ambridge, Pa.",Pitt-Greensburg/Ambridge HS,La Roche,III,2024
13,Landon Rocke,https://www.larochesports.com/sports/msoc/2024-25/bios/rocke_landon_6vuy,,Freshman,"Mars, Pa.",Mars HS,La Roche,III,2024
14,Samuel Mastroberardino,https://www.larochesports.com/sports/msoc/2024-25/bios/mastroberardino_samuel_lf3z,Midfield,Junior,"Jeannette, Pa.",Hempfield HS,La Roche,III,2024
15,Jack Gardner,https://www.larochesports.com/sports/msoc/2024-25/bios/gardner_jack_zn7b,Defender,Sophomore,"Upper St. Clair, Pa.",Upper St. Clair HS,La Roche,III,2024
16,Jacob Henderson,https://www.larochesports.com/sports/msoc/2024-25/bios/henderson_jacob_j6qg,Defender,Sophomore,"Crandall, Texas",Crandall HS,La Roche,III,2024
17,Mwamba Lungu,https://www.larochesports.com/sports/msoc/2024-25/bios/lungu_mwamba_zji5,Midfield,Sophomore,,Brobab International School,La Roche,III,2024
18,Jacob Packard,https://www.larochesports.com/sports/msoc/2024-25/bios/packard_jacob_67lw,,Freshman,"Wexford, Pa.",North Allegheny HS,La Roche,III,2024
19,Ethan Illerbrun,https://www.larochesports.com/sports/msoc/2024-25/bios/illerbrun_ethan_ncgt,,Freshman,"Kane, Pa.",Kane Area HS,La Roche,III,2024
20,Jayden Fezatte,https://www.larochesports.com/sports/msoc/2024-25/bios/fezatte_jayden_s2o4,,Freshman,"Queen Creek, Ariz.",Queen Creek HS,La Roche,III,2024
21,Mohammed Alhazmi,https://www.larochesports.com/sports/msoc/2024-25/bios/alhazmi_mohammed_0259,Midfield,Senior,"Riyadh, Saudi Arabia",Alshoura HS,La Roche,III,2024
22,Logan Romasco,https://www.larochesports.com/sports/msoc/2024-25/bios/romasco_logan_48s6,,Freshman,"Economy, Pa.",Bethany College/Ambridge HS,La Roche,III,2024
23,Aiden Burkhart,https://www.larochesports.com/sports/msoc/2024-25/bios/burkhart_aiden_lj4a,,Freshman,,,La Roche,III,2024
24,Owen Senft,https://www.larochesports.com/sports/msoc/2024-25/bios/senft_owen_chpv,,Freshman,"York, Pa.",York Suburban HS,La Roche,III,2024
